----------------------------------------
Begin Torque Prologue on nid25426
at Mon Sep 30 13:45:20 CDT 2019
Job Id:			10427124.bw
Username:		tra282
Group:			TRAIN_bayw
Job name:		hw3
Requested resources:	nodes=01:ppn=16:xk,walltime=04:00:00,neednodes=01:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.105 elapsed
----------------------------------------




Iteration: 1 | Loss: 1.9354026317596436 | Training accuracy: 0.30358% | LR: 0.001%
Iteration: 2 | Loss: 1.3974066972732544 | Training accuracy: 0.48392% | LR: 0.001%
Iteration: 3 | Loss: 1.114439606666565 | Training accuracy: 0.59428% | LR: 0.001%
Iteration: 4 | Loss: 0.953151285648346 | Training accuracy: 0.65928% | LR: 0.001%
Iteration: 5 | Loss: 0.8525604605674744 | Training accuracy: 0.69734% | LR: 0.001%
Iteration: 6 | Loss: 0.7911381721496582 | Training accuracy: 0.7206% | LR: 0.001%
Iteration: 7 | Loss: 0.7204216122627258 | Training accuracy: 0.74736% | LR: 0.001%
Iteration: 8 | Loss: 0.6938393115997314 | Training accuracy: 0.75838% | LR: 0.001%
Iteration: 9 | Loss: 0.6466322541236877 | Training accuracy: 0.77496% | LR: 0.001%
Iteration: 10 | Loss: 0.6145982146263123 | Training accuracy: 0.78756% | LR: 0.001%
Iteration: 11 | Loss: 0.5949055552482605 | Training accuracy: 0.79466% | LR: 0.001%
Iteration: 12 | Loss: 0.5680094361305237 | Training accuracy: 0.80418% | LR: 0.001%
Iteration: 13 | Loss: 0.5455732345581055 | Training accuracy: 0.81072% | LR: 0.001%
Iteration: 14 | Loss: 0.5277801156044006 | Training accuracy: 0.81624% | LR: 0.001%
Iteration: 15 | Loss: 0.5039985775947571 | Training accuracy: 0.82366% | LR: 0.001%
Iteration: 16 | Loss: 0.49226081371307373 | Training accuracy: 0.83018% | LR: 0.001%
Iteration: 17 | Loss: 0.4756387174129486 | Training accuracy: 0.83656% | LR: 0.001%
Iteration: 18 | Loss: 0.441025972366333 | Training accuracy: 0.848% | LR: 0.001%
Iteration: 19 | Loss: 0.42674317955970764 | Training accuracy: 0.85262% | LR: 0.001%
Iteration: 20 | Loss: 0.4126199781894684 | Training accuracy: 0.85794% | LR: 0.001%
Iteration: 21 | Loss: 0.4038962721824646 | Training accuracy: 0.86094% | LR: 0.001%
Iteration: 22 | Loss: 0.3944413661956787 | Training accuracy: 0.86478% | LR: 0.001%
Iteration: 23 | Loss: 0.3900638818740845 | Training accuracy: 0.86518% | LR: 0.001%
Iteration: 24 | Loss: 0.3750012516975403 | Training accuracy: 0.87062% | LR: 0.001%
Iteration: 25 | Loss: 0.3730030357837677 | Training accuracy: 0.87128% | LR: 0.001%
Iteration: 26 | Loss: 0.36126282811164856 | Training accuracy: 0.87398% | LR: 0.001%
Iteration: 27 | Loss: 0.3505851626396179 | Training accuracy: 0.87966% | LR: 0.001%
Iteration: 28 | Loss: 0.3439673185348511 | Training accuracy: 0.88012% | LR: 0.001%
Iteration: 29 | Loss: 0.34072139859199524 | Training accuracy: 0.8824% | LR: 0.001%
Iteration: 30 | Loss: 0.3351346552371979 | Training accuracy: 0.8845% | LR: 0.001%
Iteration: 31 | Loss: 0.2788861095905304 | Training accuracy: 0.90338% | LR: 0.0001%
Iteration: 32 | Loss: 0.25480446219444275 | Training accuracy: 0.91064% | LR: 0.0001%
Iteration: 33 | Loss: 0.2500849664211273 | Training accuracy: 0.91182% | LR: 0.0001%
Iteration: 34 | Loss: 0.2472912222146988 | Training accuracy: 0.91358% | LR: 0.0001%
Iteration: 35 | Loss: 0.24314650893211365 | Training accuracy: 0.91388% | LR: 0.0001%
Iteration: 36 | Loss: 0.23596332967281342 | Training accuracy: 0.9182% | LR: 0.0001%
Iteration: 37 | Loss: 0.2330925166606903 | Training accuracy: 0.91884% | LR: 0.0001%
Iteration: 38 | Loss: 0.2294844686985016 | Training accuracy: 0.91956% | LR: 0.0001%
Iteration: 39 | Loss: 0.2262945920228958 | Training accuracy: 0.92096% | LR: 0.0001%
Iteration: 40 | Loss: 0.22257450222969055 | Training accuracy: 0.92244% | LR: 0.0001%
Iteration: 41 | Loss: 0.2250770479440689 | Training accuracy: 0.9213% | LR: 0.0001%
Iteration: 42 | Loss: 0.22302037477493286 | Training accuracy: 0.92252% | LR: 0.0001%
Iteration: 43 | Loss: 0.2195262461900711 | Training accuracy: 0.92272% | LR: 0.0001%
Iteration: 44 | Loss: 0.21921589970588684 | Training accuracy: 0.92318% | LR: 0.0001%
Iteration: 45 | Loss: 0.21551395952701569 | Training accuracy: 0.92514% | LR: 0.0001%
Iteration: 46 | Loss: 0.21263453364372253 | Training accuracy: 0.9261% | LR: 0.0001%
Iteration: 47 | Loss: 0.2127770185470581 | Training accuracy: 0.92486% | LR: 0.0001%
Iteration: 48 | Loss: 0.21023781597614288 | Training accuracy: 0.92586% | LR: 0.0001%
Iteration: 49 | Loss: 0.20689444243907928 | Training accuracy: 0.92824% | LR: 0.0001%
Iteration: 50 | Loss: 0.20555272698402405 | Training accuracy: 0.92778% | LR: 0.0001%
Iteration: 51 | Loss: 0.2044130563735962 | Training accuracy: 0.92808% | LR: 0.0001%
Iteration: 52 | Loss: 0.20873785018920898 | Training accuracy: 0.92634% | LR: 0.0001%
Iteration: 53 | Loss: 0.20073190331459045 | Training accuracy: 0.92992% | LR: 0.0001%
Iteration: 54 | Loss: 0.2009638100862503 | Training accuracy: 0.92936% | LR: 0.0001%
Iteration: 55 | Loss: 0.2020513117313385 | Training accuracy: 0.92866% | LR: 0.0001%
Iteration: 56 | Loss: 0.19598522782325745 | Training accuracy: 0.93058% | LR: 0.0001%
Iteration: 57 | Loss: 0.1980123221874237 | Training accuracy: 0.93038% | LR: 0.0001%
Iteration: 58 | Loss: 0.19547438621520996 | Training accuracy: 0.93134% | LR: 0.0001%
Iteration: 59 | Loss: 0.19347400963306427 | Training accuracy: 0.93094% | LR: 0.0001%
Iteration: 60 | Loss: 0.18739283084869385 | Training accuracy: 0.93326% | LR: 0.0001%
==> Finished Training ...
Test accuracy: 0.885%
Application 80075467 resources: utime ~2891s, stime ~192s, Rss ~1562564, inblocks ~1153026, outblocks ~35672
