----------------------------------------
Begin Torque Prologue on nid25432
at Wed Oct  2 14:09:15 CDT 2019
Job Id:			10514729.bw
Username:		tra282
Group:			TRAIN_bayw
Job name:		hw3
Requested resources:	nodes=01:ppn=16:xk,walltime=04:00:00,neednodes=01:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.162 elapsed
----------------------------------------




Iteration: 1 | Loss: 1.6235308647155762 | Training accuracy: 0.3983% | LR: 0.001%
Iteration: 2 | Loss: 1.180457353591919 | Training accuracy: 0.57296% | LR: 0.001%
Iteration: 3 | Loss: 0.9599341154098511 | Training accuracy: 0.65784% | LR: 0.001%
Iteration: 4 | Loss: 0.8323122262954712 | Training accuracy: 0.70906% | LR: 0.001%
Iteration: 5 | Loss: 0.7402254343032837 | Training accuracy: 0.74074% | LR: 0.001%
Iteration: 6 | Loss: 0.6849665641784668 | Training accuracy: 0.76218% | LR: 0.001%
Iteration: 7 | Loss: 0.6347487568855286 | Training accuracy: 0.7817% | LR: 0.001%
Iteration: 8 | Loss: 0.5907058715820312 | Training accuracy: 0.79636% | LR: 0.001%
Iteration: 9 | Loss: 0.5628783702850342 | Training accuracy: 0.80468% | LR: 0.001%
Iteration: 10 | Loss: 0.5357751846313477 | Training accuracy: 0.81778% | LR: 0.001%
Iteration: 11 | Loss: 0.5045288801193237 | Training accuracy: 0.82612% | LR: 0.001%
Iteration: 12 | Loss: 0.49498268961906433 | Training accuracy: 0.8311% | LR: 0.001%
Iteration: 13 | Loss: 0.46915414929389954 | Training accuracy: 0.83926% | LR: 0.001%
Iteration: 14 | Loss: 0.4547291398048401 | Training accuracy: 0.84384% | LR: 0.001%
Iteration: 15 | Loss: 0.43627917766571045 | Training accuracy: 0.85086% | LR: 0.001%
Iteration: 16 | Loss: 0.4229438602924347 | Training accuracy: 0.85572% | LR: 0.001%
Iteration: 17 | Loss: 0.4089467227458954 | Training accuracy: 0.85826% | LR: 0.001%
Iteration: 18 | Loss: 0.37850886583328247 | Training accuracy: 0.8694% | LR: 0.001%
Iteration: 19 | Loss: 0.36992543935775757 | Training accuracy: 0.87288% | LR: 0.001%
Iteration: 20 | Loss: 0.3631678521633148 | Training accuracy: 0.8757% | LR: 0.001%
Iteration: 21 | Loss: 0.34915173053741455 | Training accuracy: 0.87888% | LR: 0.001%
Iteration: 22 | Loss: 0.3394550383090973 | Training accuracy: 0.88486% | LR: 0.001%
Iteration: 23 | Loss: 0.33655980229377747 | Training accuracy: 0.88428% | LR: 0.001%
Iteration: 24 | Loss: 0.32823893427848816 | Training accuracy: 0.8873% | LR: 0.001%
Iteration: 25 | Loss: 0.31565216183662415 | Training accuracy: 0.8901% | LR: 0.001%
Iteration: 26 | Loss: 0.311286985874176 | Training accuracy: 0.89352% | LR: 0.001%
Iteration: 27 | Loss: 0.3060111105442047 | Training accuracy: 0.89412% | LR: 0.001%
Iteration: 28 | Loss: 0.3058002293109894 | Training accuracy: 0.89578% | LR: 0.001%
Iteration: 29 | Loss: 0.2894570529460907 | Training accuracy: 0.90102% | LR: 0.001%
Iteration: 30 | Loss: 0.2875499427318573 | Training accuracy: 0.89868% | LR: 0.001%
Iteration: 31 | Loss: 0.23943960666656494 | Training accuracy: 0.91648% | LR: 0.0001%
Iteration: 32 | Loss: 0.22162070870399475 | Training accuracy: 0.92344% | LR: 0.0001%
Iteration: 33 | Loss: 0.21162715554237366 | Training accuracy: 0.92532% | LR: 0.0001%
Iteration: 34 | Loss: 0.20670635998249054 | Training accuracy: 0.92806% | LR: 0.0001%
Iteration: 35 | Loss: 0.20728042721748352 | Training accuracy: 0.92718% | LR: 0.0001%
Iteration: 36 | Loss: 0.20131231844425201 | Training accuracy: 0.92914% | LR: 0.0001%
Iteration: 37 | Loss: 0.19869011640548706 | Training accuracy: 0.93044% | LR: 0.0001%
Iteration: 38 | Loss: 0.1938871592283249 | Training accuracy: 0.93092% | LR: 0.0001%
Iteration: 39 | Loss: 0.19422057271003723 | Training accuracy: 0.93256% | LR: 0.0001%
Iteration: 40 | Loss: 0.19117949903011322 | Training accuracy: 0.9331% | LR: 0.0001%
Iteration: 41 | Loss: 0.18819531798362732 | Training accuracy: 0.93398% | LR: 0.0001%
Iteration: 42 | Loss: 0.18755030632019043 | Training accuracy: 0.93428% | LR: 0.0001%
Iteration: 43 | Loss: 0.18535488843917847 | Training accuracy: 0.93476% | LR: 0.0001%
Iteration: 44 | Loss: 0.1820136457681656 | Training accuracy: 0.937% | LR: 0.0001%
Iteration: 45 | Loss: 0.18278059363365173 | Training accuracy: 0.9354% | LR: 0.0001%
Iteration: 46 | Loss: 0.18312767148017883 | Training accuracy: 0.93672% | LR: 0.0001%
Iteration: 47 | Loss: 0.18024368584156036 | Training accuracy: 0.93682% | LR: 0.0001%
Iteration: 48 | Loss: 0.17608167231082916 | Training accuracy: 0.93816% | LR: 0.0001%
Iteration: 49 | Loss: 0.17410553991794586 | Training accuracy: 0.93908% | LR: 0.0001%
Iteration: 50 | Loss: 0.17289479076862335 | Training accuracy: 0.93858% | LR: 0.0001%
Iteration: 51 | Loss: 0.17471309006214142 | Training accuracy: 0.93766% | LR: 0.0001%
Iteration: 52 | Loss: 0.1734049767255783 | Training accuracy: 0.93902% | LR: 0.0001%
Iteration: 53 | Loss: 0.17044049501419067 | Training accuracy: 0.9402% | LR: 0.0001%
Iteration: 54 | Loss: 0.17053772509098053 | Training accuracy: 0.93926% | LR: 0.0001%
Iteration: 55 | Loss: 0.16875024139881134 | Training accuracy: 0.94086% | LR: 0.0001%
Iteration: 56 | Loss: 0.1661243587732315 | Training accuracy: 0.94106% | LR: 0.0001%
Iteration: 57 | Loss: 0.16688720881938934 | Training accuracy: 0.94074% | LR: 0.0001%
Iteration: 58 | Loss: 0.16411611437797546 | Training accuracy: 0.94168% | LR: 0.0001%
Iteration: 59 | Loss: 0.16437898576259613 | Training accuracy: 0.94136% | LR: 0.0001%
Iteration: 60 | Loss: 0.1626969575881958 | Training accuracy: 0.94228% | LR: 0.0001%
==> Finished Training ...
Test accuracy: 0.8893%
Application 81320981 resources: utime ~2544s, stime ~242s, Rss ~1562632, inblocks ~1153036, outblocks ~35665
